Favorite social networks of U.S. teens 2012-2019,,,,,,,,,
Most popular social networks of teenagers in the United States from fall 2012 to spring 2019,,,,,,,,,
,Snapchat,Instagram,Twitter,Facebook,Tumblr,Pinterest,Google+,Other,
Fall 2012,-,12,27,42,3,2,6,2,in %
Spring 2013,-,17,30,33,4,2,5,4,in %
Fall 2013,-,27,31,27,5,2,4,2,in %
Spring 2014,-,30,27,23,5,2,4,4,in %
Spring 2015,11,29,21,12,4,2,1,8,in %
Fall 2015,17,29,18,13,3,1,1,8,in %
Spring 2016,24,23,16,15,2,1,1,5,in %
Fall 2016,35,24,13,13,-,1,1,-,in %
Spring 2017,39,23,11,11,-,1,-,-,in %
Fall 2017,47,24,7,9,-,-,-,-,in %
Spring 2018,45,26,9,8,-,1,-,-,in %
Fall 2018,46,32,6,6,-,1,-,-,in %
Spring 2019,41,35,6,6,-,1,-,-,in %